,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
210,-143,1318,16004,1159,-83,299,-139,1475,-650,-3113,2022-10-21 16:19:33.262069
211,-147,1280,16010,1099,-64,176,-151,1467,-632,-3081,2022-10-21 16:19:33.380754
212,-145,1226,15940,1125,-57,196,-149,1456,-631,-3140,2022-10-21 16:19:33.501746
213,-145,1068,15804,1328,69,281,-141,1507,-628,-3041,2022-10-21 16:19:33.621005
214,-145,1457,16196,817,-187,366,-148,1505,-627,-3065,2022-10-21 16:19:33.740328
215,-144,1388,15888,1143,-2,203,-167,1514,-626,-3068,2022-10-21 16:19:33.860008
216,-144,1273,16019,934,-92,116,-154,1484,-602,-3095,2022-10-21 16:19:33.979684
217,-144,1212,15980,1070,-36,126,-172,1490,-632,-3084,2022-10-21 16:19:34.098578
218,-145,1163,15842,1137,-94,174,-132,1516,-662,-3077,2022-10-21 16:19:34.217979
219,-143,1327,15929,1020,-59,260,-130,1508,-648,-3082,2022-10-21 16:19:34.337829
220,-144,1333,15884,1041,-100,87,-158,1512,-622,-3052,2022-10-21 16:19:34.458879
221,-144,1095,16008,1223,30,121,-171,1528,-650,-3128,2022-10-21 16:19:34.585520
222,-143,1016,16277,828,-76,272,-116,1484,-643,-3034,2022-10-21 16:19:34.712786
223,-143,1295,15831,970,-33,221,-127,1520,-638,-3071,2022-10-21 16:19:34.840400
224,-145,1459,16148,946,4,282,-191,1513,-642,-3083,2022-10-21 16:19:34.968342
225,-146,1218,16242,1060,-142,148,-146,1533,-640,-3074,2022-10-21 16:19:35.091450
226,-144,482,16034,1088,-51,818,-90,1508,-617,-3057,2022-10-21 16:19:35.221270
227,-145,920,16127,1025,3,1810,-59,1593,-579,-2987,2022-10-21 16:19:35.354343
228,-144,1215,15919,1303,146,2439,-63,1653,-595,-3062,2022-10-21 16:19:35.480886
229,-144,1266,16302,1206,119,2860,-7,1747,-633,-3033,2022-10-21 16:19:35.611091
230,-145,1377,15975,1475,73,3185,-11,1869,-618,-2956,2022-10-21 16:19:35.739565
231,-143,1350,15911,1287,150,3210,36,1988,-678,-2909,2022-10-21 16:19:35.869720
232,-144,1721,16003,1340,17,3042,45,2041,-651,-2796,2022-10-21 16:19:35.996359
233,-145,1777,15730,1469,119,3202,-2,2163,-702,-2766,2022-10-21 16:19:36.123019
234,-145,894,15971,1506,116,3219,-4,2247,-752,-2653,2022-10-21 16:19:36.253622
235,-142,1821,15443,1461,-23,3338,90,2290,-722,-2545,2022-10-21 16:19:36.380277
236,-142,1373,15843,1362,192,3221,-34,2342,-756,-2483,2022-10-21 16:19:36.508893
237,-145,1315,15725,1310,35,3082,91,2363,-742,-2434,2022-10-21 16:19:36.634057
238,-145,1169,15895,1117,136,2697,16,2324,-763,-2309,2022-10-21 16:19:36.764614
239,-144,1208,15835,1470,39,2514,17,2380,-798,-2328,2022-10-21 16:19:36.893924
240,-148,1295,15811,1265,56,2007,70,2366,-799,-2185,2022-10-21 16:19:37.024246
241,-144,1460,15909,1239,7,1313,-96,2372,-780,-2231,2022-10-21 16:19:37.153266
242,-146,1908,15731,1315,-80,197,-143,2319,-793,-2234,2022-10-21 16:19:37.282245
243,-144,1572,16128,1048,-104,-617,-165,2362,-869,-2230,2022-10-21 16:19:37.410815
244,-145,521,15838,1269,-34,188,-185,2281,-774,-2193,2022-10-21 16:19:37.539946
245,-146,1105,16038,1102,-22,94,-89,2340,-822,-2273,2022-10-21 16:19:37.666557
246,-146,1337,15946,1037,-57,312,-88,2332,-828,-2253,2022-10-21 16:19:37.795795
247,-147,1166,15963,1038,-146,-7,-270,2326,-785,-2267,2022-10-21 16:19:37.920365
248,-144,1199,15823,1324,-60,95,-139,2346,-819,-2245,2022-10-21 16:19:38.047049
249,-146,917,15887,1205,-147,471,46,2366,-817,-2204,2022-10-21 16:19:38.171227
250,-147,1278,15938,1310,42,189,-147,2348,-803,-2192,2022-10-21 16:19:38.300390
251,-144,1313,16055,1038,-77,235,-118,2332,-802,-2221,2022-10-21 16:19:38.429138
252,-145,1317,15906,1286,-37,155,-151,2350,-810,-2241,2022-10-21 16:19:38.553641
253,-144,1313,16043,1135,-77,159,-134,2377,-821,-2269,2022-10-21 16:19:38.679218
254,-146,1317,16022,1198,-49,124,-153,2341,-834,-2228,2022-10-21 16:19:38.807551
255,-144,1398,16033,1032,-83,144,-153,2345,-800,-2239,2022-10-21 16:19:38.933236
256,-145,1336,15909,1291,-49,136,-144,2332,-834,-2280,2022-10-21 16:19:39.060737
257,-146,1338,15912,1182,-32,69,-142,2344,-816,-2208,2022-10-21 16:19:39.186414
258,-144,1377,15968,1102,-75,-55,-151,2343,-822,-2249,2022-10-21 16:19:39.316570
259,-144,1480,15946,1249,-96,-230,-162,2365,-836,-2203,2022-10-21 16:19:39.445022
260,-146,1226,15983,1015,-83,198,-190,2336,-816,-2251,2022-10-21 16:19:39.572774
261,-146,1030,15907,1314,-41,100,-134,2355,-837,-2237,2022-10-21 16:19:39.698804
262,-144,1400,15992,1119,-61,-31,-148,2373,-851,-2219,2022-10-21 16:19:39.826111
263,-145,1251,16144,1715,-78,63,-109,2353,-858,-2249,2022-10-21 16:19:39.953056
264,-147,1300,15894,1250,0,44,-184,2389,-813,-2175,2022-10-21 16:19:40.086394
265,-146,1490,15864,1136,-86,-782,-203,2395,-899,-2233,2022-10-21 16:19:40.219330
266,-145,1405,15712,1125,-176,-1568,-224,2429,-849,-2272,2022-10-21 16:19:40.348398
267,-143,1538,15952,1012,-128,-2284,-284,2446,-831,-2303,2022-10-21 16:19:40.476499
268,-145,1721,15985,1212,-214,-2650,-315,2450,-897,-2346,2022-10-21 16:19:40.602540
269,-145,1348,15942,1492,-201,-2878,-313,2399,-835,-2444,2022-10-21 16:19:40.732515
