,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
337,-135,1771,16100,175,-64,950,-50,1594,-658,-1457
338,-133,1441,16067,-20,-154,85,-47,1651,-632,-1527
339,-135,1013,15958,46,-65,140,-57,1630,-661,-1516
340,-135,1296,15718,127,-119,24,-83,1705,-652,-1504
341,-133,575,15858,1869,264,175,-13,1669,-734,-1497
342,-135,1471,16696,-1099,-156,188,-52,1686,-682,-1526
343,-134,1021,15658,791,31,89,-42,1631,-667,-1525
344,-131,1235,16070,138,-106,31,-83,1675,-666,-1511
345,-132,1834,15837,315,43,-1374,32,1661,-678,-1553
346,-132,3563,15969,571,-13,-779,-288,1662,-585,-1491
347,-134,1726,16818,-936,-42,-1674,-185,1703,-643,-1556
348,-133,1323,16046,-59,-353,-2539,64,1760,-644,-1648
349,-133,742,16291,165,-190,-3023,21,1859,-637,-1649
350,-133,969,15969,325,-149,-2829,4,1878,-650,-1735
351,-133,359,16183,65,-138,-2801,-9,1901,-678,-1721
352,-132,1287,15672,88,-167,-2802,33,1967,-707,-1830
353,-134,1154,16201,-166,-173,-3072,-6,1985,-735,-1884
354,-133,991,15919,188,-80,-3195,1,1943,-618,-1931
355,-134,766,16022,169,-148,-3006,-15,1999,-651,-1947
356,-132,688,16227,-96,-237,-2869,69,2035,-652,-1992
357,-133,778,15991,-274,-313,-2958,-27,2088,-654,-2066
358,-134,962,16059,270,-171,-2618,-55,2165,-658,-2062
359,-133,739,15915,329,-219,-1988,-47,2155,-690,-2160
360,-130,1100,15686,-227,-93,-1143,-11,2198,-649,-2176
361,-133,1236,16193,176,-266,-741,-95,2189,-667,-2204
362,-133,-63,15217,717,-147,-268,4,2185,-671,-2231
363,-133,1272,16500,-768,-151,27,10,2232,-651,-2202
364,-135,1969,16426,4,-45,91,-103,2192,-692,-2232
365,-133,2842,15711,111,-118,-322,-107,2179,-686,-2304
366,-132,1134,16113,30,-57,-598,8,2200,-671,-2232
367,-134,900,15827,189,-257,53,-45,2167,-704,-2291
368,-131,1127,15911,64,-37,86,-34,2232,-676,-2314
369,-133,679,16000,248,-27,610,-11,2210,-645,-2244
370,-134,1703,15841,413,-345,592,-212,2220,-681,-2253
371,-134,786,16120,-270,104,1,40,2251,-662,-2279
372,-135,1257,16032,518,-53,175,-187,2203,-681,-2214
373,-133,962,15996,12,-103,8,-21,2223,-650,-2301
374,-135,1976,15715,610,-64,52,-45,2181,-631,-2225
